travelCode,userCode,from,to,flightType,price,time,distance,agency,date
12503,120,Aracaju (SE),Salvador (BH),premium,1288.79,2.16,830.86,CloudFy,2022-09-01
47632,461,Campo Grande (MS),Brasilia (DF),firstClass,870.91,0.72,277.7,Rainbow,2022-09-01
107004,1061,Florianopolis (SC),Rio de Janeiro (RJ),premium,481.42,1.21,466.3,Rainbow,2022-09-01
103882,1029,Florianopolis (SC),Recife (PE),firstClass,1300.6,1.76,676.53,CloudFy,2022-09-01
59873,580,Campo Grande (MS),Natal (RN),economic,411.05,0.65,250.68,Rainbow,2022-09-01
4057,40,Recife (PE),Salvador (BH),firstClass,1470.41,2.05,788.55,Rainbow,2022-09-01
76867,746,Natal (RN),Sao Paulo (SP),economic,583.17,0.85,327.55,Rainbow,2022-09-01
127858,1260,Florianopolis (SC),Aracaju (SE),firstClass,1468.03,2.1,808.85,CloudFy,2022-09-01
19865,193,Recife (PE),Aracaju (SE),firstClass,1300.81,1.44,555.74,FlyingDrops,2022-09-01
40369,389,Aracaju (SE),Campo Grande (MS),firstClass,1376.09,1.69,650.1,FlyingDrops,2022-09-01
49378,483,Campo Grande (MS),Florianopolis (SC),economic,764.53,1.49,573.81,Rainbow,2022-09-01
81847,796,Natal (RN),Salvador (BH),economic,922.87,1.85,710.57,CloudFy,2022-09-01
38519,369,Aracaju (SE),Brasilia (DF),premium,755.62,1.11,425.98,CloudFy,2022-09-01
82130,798,Sao Paulo (SP),Recife (PE),firstClass,1464.89,1.26,486.52,FlyingDrops,2022-09-01
17464,174,Aracaju (SE),Brasilia (DF),firstClass,959.29,1.11,425.98,Rainbow,2022-09-01
14494,145,Brasilia (DF),Rio de Janeiro (RJ),economic,371.04,0.48,183.37,Rainbow,2022-09-01
42364,412,Recife (PE),Aracaju (SE),economic,663.23,1.44,555.74,Rainbow,2022-09-01
60475,584,Campo Grande (MS),Salvador (BH),firstClass,1149.38,1.36,522.34,CloudFy,2022-09-01
1958,16,Brasilia (DF),Natal (RN),economic,726.19,1.43,550.69,Rainbow,2022-09-01
127133,1255,Florianopolis (SC),Brasilia (DF),firstClass,1087.18,1.66,637.56,Rainbow,2022-09-01
130760,1286,Florianopolis (SC),Sao Paulo (SP),firstClass,693.51,1.46,562.14,CloudFy,2022-09-01
66285,642,Campo Grande (MS),Sao Paulo (SP),premium,441.34,0.44,168.22,Rainbow,2022-09-01
22935,223,Brasilia (DF),Campo Grande (MS),firstClass,1096.58,0.72,277.7,CloudFy,2022-09-01
44282,432,Recife (PE),Salvador (BH),firstClass,1596.61,2.05,788.55,FlyingDrops,2022-09-01
8457,82,Recife (PE),Rio de Janeiro (RJ),premium,1270.03,2.3,885.57,CloudFy,2022-09-01
94162,930,Florianopolis (SC),Recife (PE),firstClass,1292.29,1.76,676.53,FlyingDrops,2022-09-01
59703,578,Campo Grande (MS),Natal (RN),firstClass,749.85,0.65,250.68,FlyingDrops,2022-09-01
121671,1205,Florianopolis (SC),Campo Grande (MS),economic,478.02,1.49,573.81,CloudFy,2022-09-01
40071,387,Brasilia (DF),Aracaju (SE),premium,965.62,1.11,425.98,Rainbow,2022-09-01
28415,271,Brasilia (DF),Campo Grande (MS),economic,583.6,0.72,277.7,CloudFy,2022-09-01
81495,793,Aracaju (SE),Campo Grande (MS),firstClass,1376.09,1.69,650.1,FlyingDrops,2022-09-01
49204,482,Campo Grande (MS),Recife (PE),firstClass,1185.95,1.39,535.4,Rainbow,2022-09-01
119829,1188,Florianopolis (SC),Sao Paulo (SP),economic,426.91,1.46,562.14,CloudFy,2022-09-01
52013,504,Campo Grande (MS),Sao Paulo (SP),firstClass,620.16,0.44,168.22,CloudFy,2022-09-01
63372,616,Campo Grande (MS),Natal (RN),premium,652.47,0.65,250.68,CloudFy,2022-09-01
