travelCode,userCode,from,to,flightType,price,time,distance,agency,date
35745,341,Brasilia (DF),Salvador (BH),firstClass,1724.49,1.76,676.56,FlyingDrops,2023-03-02
13267,129,Recife (PE),Natal (RN),economic,301.51,0.58,222.67,CloudFy,2023-03-02
12964,126,Brasilia (DF),Aracaju (SE),firstClass,1260.1,1.11,425.98,CloudFy,2023-03-02
41853,407,Aracaju (SE),Natal (RN),firstClass,549.96,0.46,176.33,Rainbow,2023-03-02
74981,727,Natal (RN),Campo Grande (MS),economic,546.04,0.65,250.68,CloudFy,2023-03-02
24869,241,Brasilia (DF),Aracaju (SE),economic,654.88,1.11,425.98,CloudFy,2023-03-02
114180,1135,Florianopolis (SC),Campo Grande (MS),economic,544.86,1.49,573.81,Rainbow,2023-03-02
52982,512,Campo Grande (MS),Recife (PE),premium,959.91,1.39,535.4,CloudFy,2023-03-02
99984,992,Florianopolis (SC),Brasilia (DF),premium,885.37,1.66,637.56,CloudFy,2023-03-02
109350,1083,Florianopolis (SC),Sao Paulo (SP),firstClass,738.8,1.46,562.14,Rainbow,2023-03-02
4083,40,Brasilia (DF),Natal (RN),economic,791.66,1.43,550.69,CloudFy,2023-03-02
66719,646,Campo Grande (MS),Aracaju (SE),premium,1146.95,1.69,650.1,Rainbow,2023-03-02
89531,882,Natal (RN),Florianopolis (SC),firstClass,1570.02,1.84,709.37,CloudFy,2023-03-02
115978,1150,Florianopolis (SC),Natal (RN),economic,780.68,1.84,709.37,Rainbow,2023-03-02
9009,90,Aracaju (SE),Brasilia (DF),firstClass,898.04,1.11,425.98,FlyingDrops,2023-03-02
29843,284,Brasilia (DF),Salvador (BH),firstClass,1724.49,1.76,676.56,FlyingDrops,2023-03-02
29544,281,Brasilia (DF),Recife (PE),economic,421.2,0.63,242.21,Rainbow,2023-03-02
10501,105,Aracaju (SE),Campo Grande (MS),firstClass,1376.09,1.69,650.1,FlyingDrops,2023-03-02
26566,254,Brasilia (DF),Salvador (BH),premium,1346.6,1.76,676.56,CloudFy,2023-03-02
65314,634,Campo Grande (MS),Brasilia (DF),firstClass,870.91,0.72,277.7,Rainbow,2023-03-02
103908,1029,Florianopolis (SC),Campo Grande (MS),firstClass,949.58,1.49,573.81,CloudFy,2023-03-02
97434,962,Florianopolis (SC),Rio de Janeiro (RJ),premium,481.42,1.21,466.3,Rainbow,2023-03-02
26288,251,Aracaju (SE),Rio de Janeiro (RJ),economic,712.64,1.55,597.61,Rainbow,2023-03-02
37981,362,Recife (PE),Rio de Janeiro (RJ),firstClass,1706.89,2.3,885.57,FlyingDrops,2023-03-02
48813,478,Campo Grande (MS),Brasilia (DF),firstClass,870.91,0.72,277.7,Rainbow,2023-03-02
87188,859,Natal (RN),Recife (PE),economic,429.77,0.58,222.67,CloudFy,2023-03-02
64958,632,Campo Grande (MS),Natal (RN),economic,411.05,0.65,250.68,Rainbow,2023-03-02
56118,545,Campo Grande (MS),Rio de Janeiro (RJ),economic,972.12,2.09,806.48,CloudFy,2023-03-02
46825,454,Campo Grande (MS),Natal (RN),firstClass,732.89,0.65,250.68,CloudFy,2023-03-02
49843,486,Campo Grande (MS),Salvador (BH),firstClass,1114.75,1.36,522.34,Rainbow,2023-03-02
128869,1269,Florianopolis (SC),Recife (PE),economic,695.3,1.76,676.53,Rainbow,2023-03-02
126639,1252,Florianopolis (SC),Rio de Janeiro (RJ),premium,469.92,1.21,466.3,CloudFy,2023-03-02
71528,693,Aracaju (SE),Sao Paulo (SP),premium,588.14,1.02,392.76,Rainbow,2023-03-02
34145,326,Recife (PE),Sao Paulo (SP),firstClass,883.63,1.26,486.52,CloudFy,2023-03-02
28191,268,Recife (PE),Aracaju (SE),premium,932.84,1.44,555.74,CloudFy,2023-03-02
20227,195,Recife (PE),Rio de Janeiro (RJ),economic,910.7,2.3,885.57,CloudFy,2023-03-02
60892,587,Campo Grande (MS),Florianopolis (SC),economic,808.63,1.49,573.81,CloudFy,2023-03-02
102721,1019,Florianopolis (SC),Recife (PE),premium,918.66,1.76,676.53,CloudFy,2023-03-02
43262,422,Recife (PE),Florianopolis (SC),firstClass,1354.53,1.76,676.53,CloudFy,2023-03-02
109950,1089,Florianopolis (SC),Sao Paulo (SP),firstClass,762.89,1.46,562.14,FlyingDrops,2023-03-02
134177,1320,Florianopolis (SC),Brasilia (DF),premium,814.55,1.66,637.56,Rainbow,2023-03-02
132529,1305,Florianopolis (SC),Sao Paulo (SP),firstClass,693.51,1.46,562.14,CloudFy,2023-03-02
35259,337,Recife (PE),Brasilia (DF),firstClass,709.25,0.63,242.21,CloudFy,2023-03-02
91351,900,Florianopolis (SC),Aracaju (SE),premium,1149.53,2.1,808.85,CloudFy,2023-03-02
66311,642,Campo Grande (MS),Rio de Janeiro (RJ),firstClass,1754.17,2.09,806.48,Rainbow,2023-03-02
76579,744,Natal (RN),Recife (PE),economic,406.36,0.58,222.67,Rainbow,2023-03-02
106435,1056,Florianopolis (SC),Sao Paulo (SP),firstClass,693.51,1.46,562.14,CloudFy,2023-03-02
81521,793,Aracaju (SE),Natal (RN),firstClass,598.61,0.46,176.33,CloudFy,2023-03-02
95287,940,Florianopolis (SC),Aracaju (SE),premium,1149.53,2.1,808.85,CloudFy,2023-03-02
44805,436,Recife (PE),Campo Grande (MS),economic,615.59,1.39,535.4,Rainbow,2023-03-02
5754,56,Recife (PE),Brasilia (DF),firstClass,697.22,0.63,242.21,FlyingDrops,2023-03-02
