travelCode,userCode,from,to,flightType,price,time,distance,agency,date
16870,168,Sao Paulo (SP),Aracaju (SE),economic,647.9,1.02,392.76,Rainbow,2022-04-29
99672,989,Recife (PE),Florianopolis (SC),premium,1074.75,1.76,676.53,CloudFy,2022-04-29
90350,891,Campo Grande (MS),Florianopolis (SC),firstClass,1341.21,1.49,573.81,Rainbow,2022-04-29
52665,510,Brasilia (DF),Campo Grande (MS),firstClass,1096.58,0.72,277.7,CloudFy,2022-04-29
59855,580,Rio de Janeiro (RJ),Campo Grande (MS),firstClass,1566.26,2.09,806.48,FlyingDrops,2022-04-29
131433,1293,Natal (RN),Florianopolis (SC),firstClass,1554.92,1.84,709.37,Rainbow,2022-04-29
127703,1259,Salvador (BH),Florianopolis (SC),premium,1321.52,2.44,937.77,CloudFy,2022-04-29
19150,187,Campo Grande (MS),Brasilia (DF),firstClass,870.91,0.72,277.7,Rainbow,2022-04-29
52938,512,Rio de Janeiro (RJ),Campo Grande (MS),firstClass,1566.26,2.09,806.48,FlyingDrops,2022-04-29
74197,718,Campo Grande (MS),Natal (RN),economic,411.05,0.65,250.68,Rainbow,2022-04-29
122262,1212,Aracaju (SE),Florianopolis (SC),premium,1174.97,2.1,808.85,CloudFy,2022-04-29
96828,957,Brasilia (DF),Florianopolis (SC),firstClass,1569.65,1.66,637.56,FlyingDrops,2022-04-29
117059,1159,Rio de Janeiro (RJ),Florianopolis (SC),economic,519.1,1.21,466.3,Rainbow,2022-04-29
28756,274,Natal (RN),Brasilia (DF),economic,697.51,1.43,550.69,CloudFy,2022-04-29
121121,1201,Rio de Janeiro (RJ),Florianopolis (SC),firstClass,961.99,1.21,466.3,FlyingDrops,2022-04-29
120313,1193,Recife (PE),Florianopolis (SC),economic,803.39,1.76,676.53,Rainbow,2022-04-29
95442,941,Aracaju (SE),Florianopolis (SC),firstClass,1515.79,2.1,808.85,CloudFy,2022-04-29
125209,1235,Rio de Janeiro (RJ),Florianopolis (SC),premium,672.66,1.21,466.3,Rainbow,2022-04-29
55539,541,Recife (PE),Campo Grande (MS),firstClass,1110.76,1.39,535.4,CloudFy,2022-04-29
53606,517,Sao Paulo (SP),Campo Grande (MS),firstClass,668.19,0.44,168.22,FlyingDrops,2022-04-29
33363,321,Campo Grande (MS),Recife (PE),firstClass,1244.73,1.39,535.4,CloudFy,2022-04-29
25190,243,Florianopolis (SC),Recife (PE),premium,1013.4,1.76,676.53,Rainbow,2022-04-29
46307,450,Campo Grande (MS),Aracaju (SE),firstClass,1581.8,1.69,650.1,CloudFy,2022-04-29
101041,1003,Recife (PE),Florianopolis (SC),firstClass,1354.53,1.76,676.53,CloudFy,2022-04-29
21040,206,Florianopolis (SC),Recife (PE),firstClass,1300.6,1.76,676.53,CloudFy,2022-04-29
42642,415,Natal (RN),Aracaju (SE),firstClass,576.66,0.46,176.33,CloudFy,2022-04-29
36995,352,Recife (PE),Aracaju (SE),firstClass,1300.81,1.44,555.74,FlyingDrops,2022-04-29
102677,1019,Campo Grande (MS),Florianopolis (SC),firstClass,1341.21,1.49,573.81,Rainbow,2022-04-29
90923,897,Brasilia (DF),Florianopolis (SC),firstClass,1487.52,1.66,637.56,CloudFy,2022-04-29
63743,619,Aracaju (SE),Campo Grande (MS),firstClass,1376.09,1.69,650.1,FlyingDrops,2022-04-29
33137,319,Brasilia (DF),Recife (PE),economic,421.2,0.63,242.21,Rainbow,2022-04-29
114410,1138,Aracaju (SE),Florianopolis (SC),economic,869.13,2.1,808.85,CloudFy,2022-04-29
47614,461,Florianopolis (SC),Campo Grande (MS),firstClass,949.58,1.49,573.81,CloudFy,2022-04-29
88901,878,Rio de Janeiro (RJ),Aracaju (SE),firstClass,1386.46,1.55,597.61,Rainbow,2022-04-29
83760,820,Sao Paulo (SP),Aracaju (SE),economic,722.74,1.02,392.76,CloudFy,2022-04-29
5014,49,Rio de Janeiro (RJ),Recife (PE),economic,932.59,2.3,885.57,Rainbow,2022-04-29
6015,60,Rio de Janeiro (RJ),Aracaju (SE),economic,796.42,1.55,597.61,CloudFy,2022-04-29
29039,276,Natal (RN),Brasilia (DF),firstClass,1192.62,1.43,550.69,FlyingDrops,2022-04-29
130240,1281,Rio de Janeiro (RJ),Florianopolis (SC),firstClass,961.99,1.21,466.3,FlyingDrops,2022-04-29
1940,16,Brasilia (DF),Recife (PE),economic,432.1,0.63,242.21,CloudFy,2022-04-29
56708,552,Recife (PE),Campo Grande (MS),premium,793.15,1.39,535.4,CloudFy,2022-04-29
95243,940,Recife (PE),Florianopolis (SC),firstClass,1371.83,1.76,676.53,Rainbow,2022-04-29
48769,478,Brasilia (DF),Campo Grande (MS),firstClass,1096.58,0.72,277.7,CloudFy,2022-04-29
38349,368,Salvador (BH),Brasilia (DF),economic,587.85,1.76,676.56,CloudFy,2022-04-29
135350,1331,Campo Grande (MS),Florianopolis (SC),premium,1031.59,1.49,573.81,CloudFy,2022-04-29
32208,308,Florianopolis (SC),Brasilia (DF),premium,885.37,1.66,637.56,CloudFy,2022-04-29
66996,650,Florianopolis (SC),Sao Paulo (SP),premium,554.87,1.46,562.14,CloudFy,2022-04-29
